City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Cherskiy,68.75,161.3,36.3,93,100,14.83,RU,1655755283
Nikolskoye,59.7035,30.7861,55.29,84,100,3.47,RU,1655755283
Vila Velha,-20.3297,-40.2925,75.15,79,75,8.05,BR,1655755164
Chui,-33.6971,-53.4616,52.09,59,9,5.75,UY,1655755283
Dingle,10.9995,122.6711,76.26,89,100,2.19,PH,1655755284
Nome,64.5011,-165.4064,61.16,58,97,11.41,US,1655755195
Bengkulu,-3.8004,102.2655,74.66,92,100,3.71,ID,1655755284
Coyhaique,-45.5752,-72.0662,41.61,60,20,0.0,CL,1655755033
Hasaki,35.7333,140.8333,70.29,93,100,0.76,JP,1655755284
Narsaq,60.9167,-46.05,46.62,97,100,5.84,GL,1655755254
Saskylakh,71.9167,114.0833,54.36,50,99,2.06,RU,1655755285
Khatanga,71.9667,102.5,50.94,76,100,7.45,RU,1655755136
Biała Podlaska,52.0324,23.1165,65.34,97,69,6.02,PL,1655755160
Cartagena,10.3997,-75.5144,80.22,89,40,3.44,CO,1655755189
Haputale,6.7681,80.9595,62.35,81,100,4.97,LK,1655755285
Gornopravdinsk,60.05,69.9,61.77,98,100,6.91,RU,1655755286
Baracoa,20.3467,-74.4958,84.06,67,100,7.81,CU,1655755286
Goderich,43.7501,-81.7165,66.9,78,100,12.12,CA,1655755176
Mokrousovo,55.8103,66.7653,58.93,90,3,7.81,RU,1655755286
Kapaa,22.0752,-159.319,80.47,75,82,5.99,US,1655755268
Saldanha,-33.0117,17.9442,57.94,69,83,10.83,ZA,1655755287
Lincoln,40.8,-96.667,96.3,50,6,8.99,US,1655755209
Callaway,30.153,-85.5699,87.85,75,40,4.61,US,1655755287
Burnie,-41.0667,145.9167,50.94,32,100,5.79,AU,1655755287
Tautira,-17.7333,-149.15,78.76,79,84,17.05,PF,1655755234
Pisco,-13.7,-76.2167,65.01,77,54,6.91,PE,1655755107
Tuktoyaktuk,69.4541,-133.0374,35.64,81,99,10.18,CA,1655755288
Samaná,19.2056,-69.3369,84.52,65,100,9.82,DO,1655755288
Sinnamary,5.3833,-52.95,81.16,77,67,9.66,GF,1655755288
Faya,18.3851,42.4509,73.72,47,100,0.81,SA,1655755289
Cairns,-16.9167,145.7667,69.75,78,40,10.36,AU,1655755289
Tessalit,20.1986,1.0114,97.0,13,49,6.91,ML,1655755289
Asău,46.4333,26.4,70.72,76,0,4.97,RO,1655755258
Barrow,71.2906,-156.7887,57.22,67,0,12.66,US,1655755290
Souillac,-20.5167,57.5167,70.18,64,40,8.05,MU,1655755290
Adrar,20.5022,-10.0711,80.24,64,97,21.97,MR,1655755134
Djambala,-2.5447,14.7533,71.28,71,79,2.48,CG,1655755290
Port Alfred,-33.5906,26.891,62.19,88,46,7.0,ZA,1655755290
Bredasdorp,-34.5322,20.0403,53.28,93,17,6.42,ZA,1655755291
Macusani,-14.0833,-70.4333,44.11,58,46,12.64,PE,1655755291
Ossora,59.2353,163.0719,49.48,87,100,4.12,RU,1655755291
Carnarvon,-24.8667,113.6333,66.11,64,0,12.1,AU,1655755292
Torbay,47.6666,-52.7314,63.55,87,100,4.0,CA,1655755292
Upernavik,72.7868,-56.1549,33.98,89,6,11.52,GL,1655755169
Yerbogachën,61.2767,108.0108,43.11,89,3,3.98,RU,1655755292
Bathsheba,13.2167,-59.5167,82.35,74,94,16.62,BB,1655755293
Norman Wells,65.282,-126.8329,61.36,71,100,9.66,CA,1655755293
Nur-Sultan,51.1801,71.446,69.75,60,40,0.0,KZ,1655755217
Salinópolis,-0.6136,-47.3561,81.19,80,12,10.38,BR,1655755293
Williamsport,41.2412,-77.0011,82.53,28,10,1.99,US,1655755266
Kirkwood,38.5834,-90.4068,95.43,37,20,9.22,US,1655755294
Elko,41.0002,-115.5012,64.06,28,14,10.0,US,1655755294
Arraial do Cabo,-22.9661,-42.0278,73.36,78,0,16.11,BR,1655755021
San Patricio,28.017,-97.5169,101.12,36,11,15.77,US,1655755188
Kruisfontein,-34.0033,24.7314,53.89,86,100,3.0,ZA,1655755294
Aitape,-3.1374,142.3475,75.97,85,33,3.31,PG,1655755295
Bonavista,48.6499,-53.1147,51.31,98,100,15.52,CA,1655755295
Oyem,1.5995,11.5793,67.66,97,95,1.86,GA,1655755295
Yanam,16.7333,82.2167,81.55,81,100,3.78,IN,1655755295
Bambous Virieux,-20.3428,57.7575,70.05,64,40,8.05,MU,1655755296
Kuliyapitiya,7.4688,80.0401,82.08,92,100,5.39,LK,1655755296
Praia da Vitória,38.7333,-27.0667,68.76,78,73,15.08,PT,1655755272
Marzuq,14.4,46.4667,80.35,56,98,5.14,YE,1655755296
Nicoya,10.1483,-85.452,81.16,81,100,3.98,CR,1655755139
Paphos,34.7667,32.4167,74.98,83,20,9.22,CY,1655755297
Ukiah,39.1502,-123.2078,87.44,33,7,1.99,US,1655755206
Lavrentiya,65.5833,-171.0,40.86,96,100,12.19,RU,1655755297
Masvingo,-20.0637,30.8277,56.21,70,0,10.31,ZW,1655755298
Kargasok,59.0556,80.8572,59.81,86,11,5.01,RU,1655755298
Morondava,-20.2833,44.2833,72.09,68,0,13.56,MG,1655755298
Barra do Garças,-15.89,-52.2567,91.17,23,0,5.39,BR,1655755298
Praia,14.9215,-23.5087,76.03,88,79,5.95,CV,1655755299
Guerrero Negro,27.9769,-114.0611,77.43,47,0,13.85,MX,1655755174
North Platte,41.1239,-100.7654,98.11,27,97,15.01,US,1655755239
Saint Paul Harbor,57.79,-152.4072,50.65,82,100,8.28,US,1655755038
Nemuro,43.3236,145.575,50.02,92,49,15.46,JP,1655755299
Ternate,0.8,127.4,80.19,78,17,4.21,ID,1655755300
Hithadhoo,-0.6,73.0833,83.59,71,55,12.3,MV,1655755163
Borovoy,55.4333,86.0833,58.28,94,69,0.0,RU,1655755300
Taoudenni,22.6783,-3.9836,101.68,19,7,1.36,ML,1655755300
Talaya,61.3833,152.75,52.2,85,100,3.65,RU,1655755301
São Gabriel da Cachoeira,-0.1303,-67.0892,78.64,92,62,3.49,BR,1655755301
Chipinge,-20.1883,32.6236,52.03,85,15,5.41,ZW,1655755301
Namatanai,-3.6667,152.4333,78.26,78,92,5.75,PG,1655755302
City of San Pedro,14.35,121.0167,79.83,80,75,1.14,PH,1655755116
Hof,50.3167,11.9167,54.45,66,0,4.61,DE,1655755302
Ancud,-41.8697,-73.8203,43.23,71,100,7.36,CL,1655755302
Sharjah city,25.3573,55.4033,88.52,67,34,3.18,AE,1655755302
Kavieng,-2.5744,150.7967,80.38,78,87,6.67,PG,1655755303
Okha,53.5739,142.9478,49.06,91,92,11.5,RU,1655755303
Uyemskiy,64.4743,40.8524,50.05,81,40,4.47,RU,1655755303
Katsuura,35.1333,140.3,71.73,95,100,9.78,JP,1655755304
Coquimbo,-29.9533,-71.3436,55.98,80,100,3.8,CL,1655755304
Lebu,-37.6167,-73.65,50.83,86,100,12.1,CL,1655755153
Laredo,27.5064,-99.5075,101.3,24,100,15.26,US,1655755042
Walvis Bay,-22.9575,14.5053,59.09,86,11,5.95,NA,1655755304
Chokurdakh,70.6333,147.9167,38.05,55,13,10.0,RU,1655755276
Stephenville,32.2207,-98.2023,102.76,19,0,12.66,US,1655755216
Mount Isa,-20.7333,139.5,60.57,55,100,6.91,AU,1655755305
Petrov Val,50.1434,45.2096,70.92,71,0,12.01,RU,1655755305
Thinadhoo,0.5333,72.9333,83.39,72,56,10.94,MV,1655755306
Celestún,20.8667,-90.4,82.13,78,100,13.76,MX,1655755306
Lensk,60.7253,114.9278,46.63,94,100,5.06,RU,1655755306
Bayonet Point,28.3267,-82.6834,92.1,73,51,5.01,US,1655755306
Grafton,42.207,-71.6856,79.52,33,4,4.0,US,1655755307
Sur,22.5667,59.5289,89.15,58,0,11.81,OM,1655755307
Ponta do Sol,32.6667,-17.1,67.01,52,61,7.72,PT,1655755307
Buin,-33.7333,-70.75,57.06,39,100,3.18,CL,1655755308
Egvekinot,66.3167,-179.1667,34.11,98,100,5.7,RU,1655755308
Quatre Cocos,-20.2078,57.7625,69.91,65,36,17.2,MU,1655755309
Pecos,31.4229,-103.4932,95.09,26,40,12.66,US,1655755212
Zhangye,38.9342,100.4517,59.5,69,89,5.14,CN,1655755310
Olafsvik,64.8945,-23.7142,49.33,62,35,5.84,IS,1655755193
Puerto El Triunfo,13.2833,-88.55,82.74,76,100,7.85,SV,1655755310
Tiksi,71.6872,128.8694,37.85,64,100,4.99,RU,1655755311
Fairfield,41.2668,-73.3162,79.65,36,28,3.0,US,1655755249
Port Hedland,-20.3167,118.5667,60.85,63,0,9.22,AU,1655755082
Río Gallegos,-51.6226,-69.2181,32.81,93,70,12.55,AR,1655755312
Tuatapere,-46.1333,167.6833,36.25,87,1,4.65,NZ,1655755312
Raudeberg,61.9875,5.1352,52.86,81,100,27.02,NO,1655755215
La Ronge,55.1001,-105.2842,71.85,43,75,8.05,CA,1655755151
Husavik,66.0449,-17.3389,48.06,62,11,9.31,IS,1655755313
Kuytun,54.3419,101.5036,53.6,93,41,3.76,RU,1655755313
Crabtree,45.9668,-73.4659,77.79,55,28,8.66,CA,1655755313
Bluefields,12.0137,-83.7635,83.07,71,99,5.97,NI,1655755314
Lompoc,34.6391,-120.4579,92.79,56,0,16.11,US,1655755314
Mahébourg,-20.4081,57.7,70.09,64,40,8.05,MU,1655755266
Haines Junction,60.7522,-137.5108,54.3,46,100,4.88,CA,1655755280
Sassandra,4.95,-6.0833,75.54,90,100,6.89,CI,1655755315
Dubti,11.7361,41.0853,95.67,24,24,10.92,ET,1655755315
Iqaluit,63.7506,-68.5145,49.19,40,0,7.16,CA,1655755206
Novopistsovo,57.3218,41.8531,50.32,90,100,6.49,RU,1655755315
Goundam,16.4145,-3.6708,91.63,36,24,13.09,ML,1655755315
Marsá Maţrūḩ,31.3525,27.2453,74.75,74,0,3.71,EG,1655755316
Prince Rupert,54.3161,-130.3201,53.69,94,100,10.36,CA,1655755232
Kavaratti,10.5669,72.642,82.89,76,100,20.96,IN,1655755316
Tyup,42.7276,78.3648,53.26,56,6,4.79,KG,1655755316
Tommot,58.9564,126.2925,63.43,70,100,2.21,RU,1655755317
Deputatsky,69.3,139.9,33.53,64,15,0.96,RU,1655755317
Tasiilaq,65.6145,-37.6368,42.96,71,88,0.6,GL,1655755317
Dŭstí,37.3481,68.664,70.9,54,68,7.27,TJ,1655755318
Henderson,36.0397,-114.9819,91.65,8,0,9.22,US,1655755213
Thompson,55.7435,-97.8558,60.96,100,75,10.36,CA,1655755096
Geraldton,-28.7667,114.6,50.41,93,0,6.91,AU,1655755185
Awjilah,29.1081,21.2869,88.7,21,0,9.31,LY,1655755318
Okato,-39.2,173.8833,45.91,100,67,9.69,NZ,1655755319
Yangi Marg`ilon,40.4272,71.7189,72.09,40,100,1.12,UZ,1655755319
Saint Anthony,45.0205,-93.218,98.96,46,0,17.27,US,1655755146
Nantucket,41.2835,-70.0995,69.91,73,3,9.17,US,1655755275
Sabha,27.0377,14.4283,91.11,13,0,8.08,LY,1655755319
Garoowe,8.4054,48.4845,83.77,32,42,16.22,SO,1655755320
Khovd,48.0056,91.6419,62.8,32,0,6.82,MN,1655755320
Berlevåg,70.8578,29.0864,53.6,66,100,10.36,NO,1655755320
Cabo San Lucas,22.8909,-109.9124,91.62,70,85,7.74,MX,1655755187
Kaitangata,-46.2817,169.8464,36.73,95,56,3.04,NZ,1655755321
Ryl'sk,51.5655,34.6822,66.15,81,4,8.3,RU,1655755321
Shache,38.4167,77.2406,75.7,34,100,6.6,CN,1655755321
Macia,-25.0269,33.0989,62.91,96,23,4.32,MZ,1655755322
Markala,13.7021,-6.0659,87.8,48,23,9.78,ML,1655755322
Ponta Delgada,37.7333,-25.6667,69.49,72,20,16.11,PT,1655755289
Rio Grande,-32.035,-52.0986,56.95,70,58,5.91,BR,1655755322
Half Moon Bay,37.4636,-122.4286,91.58,47,0,14.97,US,1655755151
Severnyy,50.677,36.5532,73.44,53,0,6.71,RU,1655755323
Mombasa,-4.0547,39.6636,77.16,79,3,16.6,KE,1655755323
Bacolod City,10.6667,122.95,78.44,84,100,2.91,PH,1655755323
Cap Malheureux,-19.9842,57.6142,72.75,66,14,22.68,MU,1655755324
Erzin,36.9559,36.2,71.02,89,16,2.53,TR,1655755324
Tārānagar,28.6709,75.0351,84.09,48,100,9.46,IN,1655755324
Tambura,5.6,27.4667,67.59,96,100,3.09,SS,1655755325
Tunceli,39.1083,39.5471,73.9,41,0,4.47,TR,1655755325
Kuril'sk,45.2333,147.8833,45.59,98,99,10.76,RU,1655755325
Samarkand,39.6542,66.9597,69.22,43,100,11.5,UZ,1655755214
Kota Belud,6.351,116.4305,76.03,90,98,3.8,MY,1655755325
Santa Rosa,14.3122,121.1114,81.01,78,100,4.41,PH,1655755275
Nanortalik,60.1432,-45.2371,39.87,97,100,7.76,GL,1655755239
Clyde River,70.4692,-68.5914,34.21,95,21,0.74,CA,1655755241
Yumen,40.2833,97.2,63.1,43,100,6.49,CN,1655755326
Port Augusta,-32.5,137.7667,47.19,85,99,1.16,AU,1655755322
São Filipe,14.8961,-24.4956,74.28,91,88,6.06,CV,1655755326
Manado,1.487,124.8455,74.17,100,20,1.14,ID,1655755327
Paka,4.6374,103.4368,77.76,89,100,4.32,MY,1655755327
Mayo,38.8876,-76.5119,83.35,38,16,5.99,US,1655755327
Ngaoundéré,7.3167,13.5833,64.38,94,72,3.18,CM,1655755328
Meadow Lake,34.8014,-106.5436,84.67,42,97,5.75,US,1655755212
Richards Bay,-28.783,32.0377,63.0,83,27,1.5,ZA,1655755328
Aksarka,66.5606,67.7975,60.04,85,100,5.01,RU,1655755328
Karak,31.1667,35.75,66.6,51,0,11.5,JO,1655755328
Cayenne,4.9333,-52.3333,87.84,18,20,12.66,GF,1655755329
Horadiz,39.4488,47.3353,74.66,55,0,4.9,AZ,1655755329
Sakakah,29.9697,40.2064,96.35,10,0,14.7,SA,1655755329
Panzhihua,26.5851,101.7128,74.43,80,100,1.5,CN,1655755330
Dolisie,-4.1997,12.6739,68.47,84,41,5.21,CG,1655755330
Meulaboh,4.1363,96.1285,74.34,96,100,6.08,ID,1655755084
Luwuk,-0.9516,122.7875,75.63,83,62,5.06,ID,1655755330
Cidreira,-30.1811,-50.2056,58.15,72,0,6.02,BR,1655755177
Plaster Rock,46.9065,-67.39,57.72,84,100,5.82,CA,1655755331
Kochubey,44.3861,46.5825,69.91,55,5,10.96,RU,1655755331
Lüderitz,-26.6481,15.1594,52.9,85,39,3.11,NA,1655755331
Aksha,50.2814,113.2867,54.19,69,8,4.03,RU,1655755331
Castro,-24.7911,-50.0119,60.17,87,89,3.13,BR,1655755181
Puerto Asís,0.5133,-76.5007,69.49,98,100,2.13,CO,1655755332
Panguna,-6.3164,155.4848,67.01,95,29,2.37,PG,1655755332
Umba,66.6871,34.3429,46.56,82,100,4.59,RU,1655755332
College,64.8569,-147.8028,64.58,81,40,4.61,US,1655755333
Baoqing,46.3317,132.2111,63.32,80,100,6.62,CN,1655755333
Staryy Nadym,65.6118,72.6842,64.65,60,100,9.48,RU,1655755333
Dubbo,-32.25,148.6167,42.93,93,40,3.44,AU,1655755161
Talnakh,69.4865,88.3972,65.95,48,88,7.63,RU,1655755334
Si Bun Rueang,16.9667,102.2833,78.93,72,100,3.94,TH,1655755334
Utica,43.1009,-75.2327,75.34,37,44,1.99,US,1655755334
Rolling Meadows,42.0842,-88.0131,93.74,34,0,10.36,US,1655755261
Mahibadhoo,3.7833,72.9667,83.35,73,98,15.1,MV,1655755335
Bouna,9.2667,-3.0,81.88,62,71,6.73,CI,1655755335
Sterlitamak,53.6246,55.9502,54.77,95,6,10.69,RU,1655755335
Ginda,30.6945,78.4932,58.03,73,0,5.48,IN,1655755336
Altus,34.6381,-99.334,100.51,27,75,17.27,US,1655755336
Nishihara,26.1842,127.7558,80.26,94,75,13.8,JP,1655755336
Havre-St-Pierre,50.2334,-63.5986,49.73,72,100,11.45,CA,1655755337
Leshan,29.5623,103.7639,74.46,95,98,2.26,CN,1655755337
Şabrātah,32.7933,12.4885,78.6,60,0,18.14,LY,1655755337
Harmanli,41.9333,25.9,67.33,54,31,2.3,BG,1655755337
Saiki,32.95,131.9,72.81,99,100,7.74,JP,1655755338
Kindu,-2.95,25.95,69.35,95,56,2.08,CD,1655755338
Ostrovnoy,68.0531,39.5131,39.2,94,100,10.63,RU,1655755131
Kugul'ta,45.3636,42.3889,77.58,42,22,3.18,RU,1655755338
Carballo,43.213,-8.691,61.02,90,54,4.18,ES,1655755186
Tromsø,69.6496,18.957,51.82,71,75,6.91,NO,1655755220
Grand Gaube,-20.0064,57.6608,70.2,66,14,23.06,MU,1655755339
Avilés,43.5547,-5.9248,62.38,77,40,3.44,ES,1655755339
Dudinka,69.4058,86.1778,65.57,49,100,9.19,RU,1655755283
Pinhão,-25.6956,-51.6597,60.15,85,54,2.17,BR,1655755340
Sirte,31.2089,16.5887,76.21,74,0,13.73,LY,1655755340
Fairbanks,64.8378,-147.7164,64.6,82,40,4.61,US,1655755190
Zaranj,30.9667,61.8833,84.65,19,0,28.39,AF,1655755340
Pampa,35.5362,-100.9599,95.58,33,40,21.85,US,1655755341
Kushiro,42.975,144.3747,53.02,93,8,8.7,JP,1655755341
Enid,36.3956,-97.8784,101.98,39,1,8.99,US,1655755111
Hamilton,39.1834,-84.5333,86.25,40,100,4.0,US,1655755292
Trindade,-16.6494,-49.4889,83.55,29,0,5.55,BR,1655755345
Chabahar,25.2919,60.643,84.88,88,0,6.35,IR,1655755345
Kaili,-3.4626,120.2147,64.85,91,84,3.09,ID,1655755346
Safranbolu,41.2508,32.6942,62.13,98,98,4.9,TR,1655755346
Paracatu,-17.2222,-46.8747,79.21,38,0,6.15,BR,1655755198
Vao,-22.6667,167.4833,70.72,59,99,14.54,NC,1655755346
Yong’an,39.6957,113.6871,71.35,56,87,5.64,CN,1655755347
Pemangkat,1.1667,108.9667,77.0,90,100,4.94,ID,1655755347
Concepción del Oro,24.6333,-101.4167,77.7,25,84,12.46,MX,1655755347
Auki,-8.7676,160.7034,76.21,88,70,3.24,SB,1655755347
Djibouti,11.5,42.5,92.86,24,52,0.96,DJ,1655755348
Talisay City,10.2447,123.8494,79.83,81,100,2.24,PH,1655755348
Urusha,54.05,122.9,56.86,98,100,10.76,RU,1655755348
Ilulissat,69.2167,-51.1,33.82,93,75,8.05,GL,1655755349
Lagoa,39.05,-27.9833,63.72,87,70,16.64,PT,1655755349
Dalby,-27.1833,151.2667,50.52,82,2,5.57,AU,1655755218
Isla Mujeres,21.2311,-86.731,75.16,68,100,17.31,MX,1655755349
Laas,46.6166,10.7002,69.37,87,28,5.48,IT,1655755350
Gobabis,-22.45,18.9667,45.28,33,44,9.28,NA,1655755350
Barra de Tecoanapa,16.5167,-98.75,84.7,72,86,11.56,MX,1655755350
Galle,6.0367,80.217,79.92,84,100,14.72,LK,1655755351
Nagato,34.3833,131.2,71.74,93,100,9.22,JP,1655755351
Campo Verde,-20.4167,-54.0667,81.05,55,28,5.82,BR,1655755351
Guhāgar,17.4842,73.1929,80.24,85,100,6.31,IN,1655755352
Fort-Shevchenko,44.5086,50.263,74.82,56,0,8.66,KZ,1655755352
Quime,-16.9833,-67.2167,53.89,66,74,7.38,BO,1655755352
Segovia,41.1667,-4.0,63.12,46,7,3.4,ES,1655755353
Verkhnetulomskiy,68.6073,31.7962,44.73,79,100,2.8,RU,1655755353
Arlit,18.7369,7.3853,98.44,13,7,4.56,NE,1655755353
Sendhwa,21.6833,75.1,78.44,78,63,17.74,IN,1655755353
Kampot,10.6167,104.1833,82.45,86,100,6.13,KH,1655755354
Lock Haven,41.137,-77.4469,81.25,27,18,8.01,US,1655755354
Reconquista,-29.15,-59.65,66.36,50,97,5.21,AR,1655755354
Nsanje,-16.92,35.262,65.93,78,78,3.87,MW,1655755355
Huarmey,-10.0681,-78.1522,68.09,70,70,13.13,PE,1655755222
Monte Alegre,-2.0078,-54.0692,81.12,75,98,3.18,BR,1655755355
Rey Bouba,8.6724,14.1786,83.03,53,12,2.13,CM,1655755355
Aplahoué,6.9333,1.6833,74.71,91,15,5.59,BJ,1655755356
Mudgee,-32.5943,149.5871,32.05,100,75,0.0,AU,1655755076
Dalbandin,28.8947,64.4101,82.06,16,0,23.49,PK,1655755356
Arona,28.0996,-16.681,67.82,70,75,21.85,ES,1655755356
Rock Sound,24.9,-76.2,82.24,69,91,1.34,BS,1655755208
Morant Bay,17.8815,-76.4093,92.71,67,97,12.19,JM,1655755357
Kayerkan,69.3497,87.7602,65.03,48,100,8.43,RU,1655755357
